TIC 500, version 3.230, S/N 831
, , , , W, W, V, V, V, K, , , , ,
4K, 1K, Cryostat, ENTROPY, HOben, HUnten, R1, R2, AIO3, AIO4, DIO, Relays, V1, V2, V3
02.08.2016 14:02:53,0.577272, 0.556274, 125960.0, 3793.089, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.960464e-5, 13.28125, 0.000000
02.08.2016 14:03:03,0.577893, 0.556287, 125995.1, 3788.977, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 6.258487e-5, -3.125000, 0.000000
02.08.2016 14:03:13,0.578513, 0.556301, 125953.6, 3795.518, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.960464e-5, 5.859375, 0.000000
02.08.2016 14:03:23,0.579079, 0.556315, 125951.8, 3801.660, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 0.000000, 0.000000
02.08.2016 14:03:33,0.579515, 0.556328, 126022.5, 3811.471, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.874301e-5, 1.953125, 0.000000
02.08.2016 14:03:43,0.579888, 0.556342, 125925.9, 3807.705, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.576278e-5, -39.06250, 0.000000
02.08.2016 14:03:53,0.580263, 0.556355, 125963.2, 3802.189, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.874301e-5, 18.35937, 0.000000
02.08.2016 14:04:03,0.580644, 0.556369, 125800.9, 3810.250, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 3.874301e-5, -0.390625, 0.000000
02.08.2016 14:04:13,0.581037, 0.556384, 125783.9, 3802.050, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.172325e-5, 0.781250, 0.000000
02.08.2016 14:04:23,0.581440, 0.556399, 125851.4, 3814.117, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.172325e-5, -9.765625, 0.000000
02.08.2016 14:04:33,0.581855, 0.556414, 125858.3, 3814.462, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.172325e-5, -18.35937, 0.000000
